                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7072,                 2.2723,                 2.2588,                 0.2475,                0.58989,                0.39215,                0.18268,                 1.7736,                 2.2156,                 2.4879,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.6517,                 2.1805,                 2.1988,                0.29747,                0.51122,                0.38113,                0.17719,                 1.7732,                 2.1791,                  2.551,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.6706,                  2.191,                 2.2036,                0.39669,                0.33769,                0.38948,                 0.1828,                 1.7439,                 2.2189,                  2.537,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.6524,                 2.1982,                  2.176,                0.63219,                 0.3824,                0.41492,                0.20833,                 1.7213,                 2.0846,                 2.4145,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.6406,                 2.1844,                 2.1709,                0.32313,                0.52395,                0.42751,                0.20599,                 1.7738,                 2.1709,                 2.5103,              0.0010564,              0.0010564,              0.0010564
                     40,                  1.641,                 2.1562,                 2.1657,                0.26488,                0.57556,                0.42063,                0.19984,                 1.7813,                  2.322,                 2.5996,              0.0010399,              0.0010399,              0.0010399
                     41,                  1.597,                 2.1353,                 2.0907,                 0.8189,                0.33073,                0.43599,                0.22934,                 1.6076,                 2.1525,                 2.3215,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.5708,                 2.1117,                 2.1011,                0.32376,                0.49638,                0.37065,                0.19091,                 1.6541,                 2.2276,                 2.3218,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.5616,                 2.0946,                 2.0827,                0.34198,                0.65206,                0.46933,                0.24438,                 1.6125,                 1.9899,                 2.3307,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.5463,                 2.0436,                 2.0634,                0.35897,                0.51745,                0.46465,                0.23969,                 1.6429,                 2.0347,                 2.3794,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.5666,                 2.0453,                 2.0863,                0.34869,                0.57382,                0.43717,                0.23251,                 1.7013,                 2.0596,                 2.4642,             0.00095736,             0.00095736,             0.00095736
                     46,                  1.559,                 2.0772,                 2.1093,                0.40371,                0.55126,                0.48972,                 0.2621,                 1.5867,                 2.0102,                 2.2864,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.5085,                 2.0152,                 2.0671,                 0.3346,                0.57326,                0.43413,                  0.218,                 1.6851,                 2.0999,                 2.4735,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.5047,                  1.988,                  2.042,                0.42102,                 0.5718,                0.50843,                0.27443,                 1.6272,                 1.8885,                  2.305,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.5151,                 1.9734,                 2.0575,                 0.4965,                0.53553,                0.50561,                 0.2764,                 1.6353,                 1.9365,                 2.3321,             0.00089134,             0.00089134,             0.00089134
                     50,                  1.436,                 1.9522,                 1.9731,                0.38846,                 0.6016,                  0.546,                0.30625,                 1.5039,                  1.851,                 2.2111,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.4743,                 1.9815,                 2.0478,                0.45909,                0.56775,                0.53803,                0.31211,                 1.5344,                 1.8678,                 2.2702,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.5019,                 1.9696,                 2.0575,                0.40197,                0.57427,                0.54049,                0.29955,                 1.5448,                 1.8733,                 2.2405,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.5373,                 1.9957,                 2.0325,                0.43491,                 0.5057,                0.43784,                0.22563,                  1.694,                 2.1251,                 2.4299,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.4559,                 1.9762,                 1.9779,                0.44652,                 0.5478,                0.52823,                0.28749,                 1.5564,                 1.8656,                 2.2655,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.4808,                 1.9555,                 1.9978,                0.49975,                 0.5706,                0.55652,                0.31457,                 1.5071,                 1.7809,                 2.1872,             0.00079233,             0.00079233,             0.00079233
                     56,                  1.441,                 1.8939,                 1.9788,                0.50352,                 0.5961,                0.57774,                 0.3269,                 1.5481,                  1.777,                 2.1975,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.4832,                 1.9358,                 2.0108,                0.46995,                 0.6065,                0.53788,                0.30365,                 1.4915,                 1.8304,                 2.1493,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.4024,                 1.8868,                 1.9465,                0.49059,                0.61648,                0.56901,                 0.3308,                 1.4355,                 1.7547,                 2.0831,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.4263,                 1.8901,                 1.9615,                0.36292,                0.60434,                 0.5227,                0.30023,                  1.486,                 1.9287,                  2.188,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.4446,                  1.877,                 1.9844,                0.54886,                0.60029,                0.57448,                0.33422,                 1.4618,                 1.7178,                 2.1398,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.3944,                 1.8346,                 1.9539,                0.57601,                0.58002,                0.56809,                0.32998,                 1.4338,                 1.7659,                 2.1211,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.3729,                 1.8049,                   1.92,                0.55125,                 0.6269,                0.63452,                0.36219,                 1.4439,                 1.6688,                 2.1087,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.4124,                 1.8569,                 1.9558,                0.61083,                0.60824,                0.63076,                0.36992,                 1.3998,                 1.6647,                 2.0863,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.4165,                 1.8291,                 1.9478,                0.52347,                 0.5806,                0.56593,                0.31629,                 1.5663,                 1.7969,                 2.2796,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.4089,                 1.7877,                 1.9402,                0.62269,                0.62197,                0.64574,                0.38098,                 1.4127,                 1.5957,                  2.065,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.3731,                  1.729,                 1.8997,                0.54464,                0.63152,                0.63094,                0.36206,                 1.4183,                 1.6323,                 2.0773,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.4125,                 1.7879,                 1.9442,                0.62969,                0.57382,                0.60031,                0.36081,                 1.4174,                  1.661,                 2.0731,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.3929,                 1.7805,                 1.9055,                0.60655,                0.62622,                0.64154,                0.37574,                 1.3881,                 1.5686,                 2.0364,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.3713,                 1.7561,                 1.9069,                0.52181,                0.61736,                0.62542,                0.36066,                  1.404,                 1.6652,                 2.0684,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.4033,                 1.7928,                 1.9388,                0.62827,                 0.6399,                0.64825,                0.38075,                 1.3775,                 1.5725,                 2.0431,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.4094,                 1.7793,                 1.9265,                0.61364,                0.59667,                0.63672,                0.37146,                 1.3381,                  1.584,                 1.9917,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.3256,                 1.7602,                 1.8739,                0.57737,                0.62416,                0.64259,                0.39788,                 1.3283,                 1.5815,                 2.0111,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.3216,                 1.6946,                 1.8701,                0.64774,                0.63152,                0.67057,                0.41306,                 1.3202,                 1.5216,                 1.9835,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.3702,                 1.7453,                 1.9132,                0.65907,                0.61673,                0.67051,                 0.4096,                 1.3299,                 1.5406,                 1.9757,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.3945,                 1.7939,                 1.9112,                0.70243,                0.62496,                0.67752,                0.42734,                 1.2997,                 1.5451,                 1.9425,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.3106,                 1.7018,                 1.8374,                0.66919,                0.61691,                0.67646,                0.41095,                 1.3496,                 1.5111,                 1.9812,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.3418,                 1.7349,                 1.8739,                0.61834,                 0.6175,                 0.6797,                0.41714,                   1.31,                 1.5064,                  1.956,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.3078,                  1.672,                 1.8559,                0.71757,                0.63038,                0.69918,                0.43763,                 1.2843,                  1.449,                 1.9238,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.3199,                 1.6761,                 1.8421,                0.73067,                0.63123,                 0.7039,                0.44934,                 1.2791,                 1.4422,                 1.9228,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.2901,                 1.6838,                 1.8392,                0.69698,                  0.637,                0.69348,                0.44919,                 1.2773,                 1.4584,                 1.9031,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.3208,                 1.7118,                  1.835,                0.71209,                0.62711,                0.70672,                0.45502,                 1.2786,                  1.422,                 1.8879,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.3155,                 1.6553,                 1.8229,                0.70309,                0.64801,                0.71554,                0.46119,                 1.2786,                 1.3995,                 1.8946,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.2754,                 1.6037,                 1.8047,                0.70228,                0.62241,                0.70699,                0.45827,                 1.2544,                 1.4271,                 1.9003,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.3222,                 1.6408,                 1.8377,                0.69974,                 0.6363,                0.73151,                0.46792,                 1.2385,                 1.3787,                   1.87,             0.00031373,             0.00031373,             0.00031373
                     85,                  1.284,                 1.6214,                 1.8106,                0.74054,                0.65507,                0.72973,                0.47089,                  1.233,                 1.3831,                 1.8737,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.2754,                 1.5995,                  1.832,                0.71016,                0.64122,                0.72672,                0.47178,                 1.2252,                 1.4048,                 1.8749,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.2783,                  1.601,                  1.823,                0.72027,                0.64605,                0.72116,                0.46855,                 1.2538,                 1.3943,                 1.8952,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.2427,                  1.559,                  1.796,                0.70249,                 0.6577,                0.72941,                0.48255,                 1.2024,                 1.3411,                 1.8334,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.2848,                 1.5977,                 1.8151,                0.79426,                0.64164,                0.75423,                 0.4943,                 1.2109,                 1.3104,                 1.8493,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.2395,                 1.5784,                 1.7871,                0.71246,                0.67577,                0.75997,                 0.4982,                 1.2174,                 1.3183,                 1.8537,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.2383,                  1.655,                 1.8743,                0.73908,                0.67201,                0.75091,                0.48649,                 1.2278,                 1.3554,                 1.8735,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.2391,                 1.5867,                 1.8983,                0.73969,                0.66901,                0.73898,                 0.4931,                  1.211,                 1.3713,                 1.8627,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.2289,                 1.5192,                 1.8835,                0.74896,                0.66275,                0.73322,                0.48855,                  1.209,                 1.3311,                 1.8396,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.1903,                 1.5213,                 1.8624,                0.72761,                0.65626,                0.72733,                0.48644,                 1.1871,                 1.3701,                 1.8205,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.1766,                   1.46,                 1.8522,                0.75617,                0.66724,                0.74831,                0.50665,                 1.1593,                 1.3139,                 1.7966,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.1205,                 1.4002,                 1.7868,                0.72314,                0.68662,                0.76985,                 0.5193,                 1.1443,                 1.2565,                 1.7766,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.1374,                 1.4063,                 1.8105,                0.70114,                0.69516,                0.77486,                0.52702,                 1.1473,                 1.2487,                 1.7794,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.1459,                 1.3692,                 1.7908,                0.74297,                0.68214,                0.77863,                0.52629,                   1.16,                 1.2362,                 1.7868,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.1556,                 1.3625,                 1.8088,                0.82999,                0.63962,                0.77608,                0.53236,                  1.146,                 1.2372,                 1.7748,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.1118,                 1.3678,                 1.7836,                 0.7731,                0.68415,                0.78552,                0.54004,                 1.1272,                 1.2242,                 1.7596,             4.9677e-05,             4.9677e-05,             4.9677e-05
