                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.04838,                0.97049,                      1,                0.76902,             0.00025454,             0.00025454,             0.00025454
                     68,                0.04924,                0.97049,                      1,                0.76904,             0.00024747,             0.00024747,             0.00024747
                     69,                0.04898,                0.97049,                      1,                0.76902,              0.0002404,              0.0002404,              0.0002404
                     70,                0.05571,                0.97049,                      1,                0.76912,             0.00023334,             0.00023334,             0.00023334
                     71,                0.04548,                0.97049,                      1,                0.76902,             0.00022627,             0.00022627,             0.00022627
                     72,                0.05174,                0.97049,                      1,                0.76902,              0.0002192,              0.0002192,              0.0002192
                     73,                0.06224,                0.97049,                      1,                0.76902,             0.00021213,             0.00021213,             0.00021213
                     74,                0.05511,                0.97049,                      1,                0.76902,             0.00020506,             0.00020506,             0.00020506
                     75,                0.05101,                0.97049,                      1,                 0.7691,             0.00019799,             0.00019799,             0.00019799
                     76,                 0.0465,                0.97049,                      1,                0.76907,             0.00019092,             0.00019092,             0.00019092
                     77,                0.05496,                0.97049,                      1,                0.76899,             0.00018385,             0.00018385,             0.00018385
                     78,                0.05101,                0.97049,                      1,                0.76896,             0.00017679,             0.00017679,             0.00017679
                     79,                 0.0448,                0.97049,                      1,                0.76896,             0.00016972,             0.00016972,             0.00016972
                     80,                0.04209,                0.97049,                      1,                0.76893,             0.00016265,             0.00016265,             0.00016265
                     81,                0.04594,                0.97049,                      1,                0.76891,             0.00015558,             0.00015558,             0.00015558
                     82,                0.05191,                0.97049,                      1,                0.76883,             0.00014851,             0.00014851,             0.00014851
                     83,                0.04744,                0.97049,                      1,                0.76891,             0.00014144,             0.00014144,             0.00014144
                     84,                0.04682,                0.97049,                      1,                0.76888,             0.00013437,             0.00013437,             0.00013437
                     85,                0.04577,                0.97049,                      1,                0.76893,             0.00012731,             0.00012731,             0.00012731
                     86,                0.04558,                0.97049,                      1,                0.76893,             0.00012024,             0.00012024,             0.00012024
                     87,                0.04498,                0.97049,                      1,                0.76888,             0.00011317,             0.00011317,             0.00011317
                     88,                0.04574,                0.97049,                      1,                0.76888,              0.0001061,              0.0001061,              0.0001061
                     89,                0.04769,                0.97049,                      1,                0.76891,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.04593,                0.97049,                      1,                0.76891,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.04488,                0.97049,                      1,                0.76888,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.04554,                0.97049,                      1,                0.76883,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.04973,                0.97049,                      1,                0.76883,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.04366,                0.97049,                      1,                0.76883,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.04573,                0.97049,                      1,                0.76885,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.04694,                0.97049,                      1,                0.76891,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.04675,                0.97049,                      1,                0.76888,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.04327,                0.97049,                      1,                0.76888,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.04531,                0.97049,                      1,                0.76883,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                 0.0538,                0.97049,                      1,                0.76883,             2.1277e-05,             2.1277e-05,             2.1277e-05
